==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              13
  FRAC_BITS:               7
  NUM_PARALLEL:            16
  Total Test Vectors:      100
==========================================================

Test Vector   1: 272 cycles (2.72 us @ 100MHz)
Test Vector   2: 272 cycles (2.72 us @ 100MHz)
Test Vector   3: 272 cycles (2.72 us @ 100MHz)
Test Vector   4: 272 cycles (2.72 us @ 100MHz)
Test Vector   5: 272 cycles (2.72 us @ 100MHz)
Test Vector   6: 272 cycles (2.72 us @ 100MHz)
Test Vector   7: 272 cycles (2.72 us @ 100MHz)
Test Vector   8: 272 cycles (2.72 us @ 100MHz)
Test Vector   9: 272 cycles (2.72 us @ 100MHz)
Test Vector  10: 272 cycles (2.72 us @ 100MHz)
Test Vector  11: 272 cycles (2.72 us @ 100MHz)
Test Vector  12: 272 cycles (2.72 us @ 100MHz)
Test Vector  13: 272 cycles (2.72 us @ 100MHz)
Test Vector  14: 272 cycles (2.72 us @ 100MHz)
Test Vector  15: 272 cycles (2.72 us @ 100MHz)
Test Vector  16: 272 cycles (2.72 us @ 100MHz)
Test Vector  17: 272 cycles (2.72 us @ 100MHz)
Test Vector  18: 272 cycles (2.72 us @ 100MHz)
Test Vector  19: 272 cycles (2.72 us @ 100MHz)
Test Vector  20: 272 cycles (2.72 us @ 100MHz)
Test Vector  21: 272 cycles (2.72 us @ 100MHz)
Test Vector  22: 272 cycles (2.72 us @ 100MHz)
Test Vector  23: 272 cycles (2.72 us @ 100MHz)
Test Vector  24: 272 cycles (2.72 us @ 100MHz)
Test Vector  25: 272 cycles (2.72 us @ 100MHz)
Test Vector  26: 272 cycles (2.72 us @ 100MHz)
Test Vector  27: 272 cycles (2.72 us @ 100MHz)
Test Vector  28: 272 cycles (2.72 us @ 100MHz)
Test Vector  29: 272 cycles (2.72 us @ 100MHz)
Test Vector  30: 272 cycles (2.72 us @ 100MHz)
Test Vector  31: 272 cycles (2.72 us @ 100MHz)
Test Vector  32: 272 cycles (2.72 us @ 100MHz)
Test Vector  33: 272 cycles (2.72 us @ 100MHz)
Test Vector  34: 272 cycles (2.72 us @ 100MHz)
