==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              13
  FRAC_BITS:               7
  NUM_PARALLEL:            8
  Total Test Vectors:      100
==========================================================

Test Vector   1: 536 cycles (5.36 us @ 100MHz)
Test Vector   2: 536 cycles (5.36 us @ 100MHz)
Test Vector   3: 536 cycles (5.36 us @ 100MHz)
Test Vector   4: 536 cycles (5.36 us @ 100MHz)
Test Vector   5: 536 cycles (5.36 us @ 100MHz)
Test Vector   6: 536 cycles (5.36 us @ 100MHz)
Test Vector   7: 536 cycles (5.36 us @ 100MHz)
Test Vector   8: 536 cycles (5.36 us @ 100MHz)
Test Vector   9: 536 cycles (5.36 us @ 100MHz)
Test Vector  10: 536 cycles (5.36 us @ 100MHz)
Test Vector  11: 536 cycles (5.36 us @ 100MHz)
Test Vector  12: 536 cycles (5.36 us @ 100MHz)
Test Vector  13: 536 cycles (5.36 us @ 100MHz)
Test Vector  14: 536 cycles (5.36 us @ 100MHz)
Test Vector  15: 536 cycles (5.36 us @ 100MHz)
Test Vector  16: 536 cycles (5.36 us @ 100MHz)
Test Vector  17: 536 cycles (5.36 us @ 100MHz)
Test Vector  18: 536 cycles (5.36 us @ 100MHz)
Test Vector  19: 536 cycles (5.36 us @ 100MHz)
Test Vector  20: 536 cycles (5.36 us @ 100MHz)
Test Vector  21: 536 cycles (5.36 us @ 100MHz)
Test Vector  22: 536 cycles (5.36 us @ 100MHz)
Test Vector  23: 536 cycles (5.36 us @ 100MHz)
Test Vector  24: 536 cycles (5.36 us @ 100MHz)
Test Vector  25: 536 cycles (5.36 us @ 100MHz)
Test Vector  26: 536 cycles (5.36 us @ 100MHz)
Test Vector  27: 536 cycles (5.36 us @ 100MHz)
Test Vector  28: 536 cycles (5.36 us @ 100MHz)
Test Vector  29: 536 cycles (5.36 us @ 100MHz)
Test Vector  30: 536 cycles (5.36 us @ 100MHz)
Test Vector  31: 536 cycles (5.36 us @ 100MHz)
Test Vector  32: 536 cycles (5.36 us @ 100MHz)
Test Vector  33: 536 cycles (5.36 us @ 100MHz)
Test Vector  34: 536 cycles (5.36 us @ 100MHz)
