==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              8
  FRAC_BITS:               2
  NUM_PARALLEL:            4
  Total Test Vectors:      100
==========================================================

Test Vector   1: 12 cycles (0.12 us @ 100MHz)
Test Vector   2: 12 cycles (0.12 us @ 100MHz)
Test Vector   3: 12 cycles (0.12 us @ 100MHz)
Test Vector   4: 12 cycles (0.12 us @ 100MHz)
Test Vector   5: 12 cycles (0.12 us @ 100MHz)
Test Vector   6: 12 cycles (0.12 us @ 100MHz)
Test Vector   7: 12 cycles (0.12 us @ 100MHz)
Test Vector   8: 12 cycles (0.12 us @ 100MHz)
Test Vector   9: 12 cycles (0.12 us @ 100MHz)
Test Vector  10: 12 cycles (0.12 us @ 100MHz)
Test Vector  11: 12 cycles (0.12 us @ 100MHz)
Test Vector  12: 12 cycles (0.12 us @ 100MHz)
Test Vector  13: 12 cycles (0.12 us @ 100MHz)
Test Vector  14: 12 cycles (0.12 us @ 100MHz)
Test Vector  15: 12 cycles (0.12 us @ 100MHz)
Test Vector  16: 12 cycles (0.12 us @ 100MHz)
Test Vector  17: 12 cycles (0.12 us @ 100MHz)
Test Vector  18: 12 cycles (0.12 us @ 100MHz)
Test Vector  19: 12 cycles (0.12 us @ 100MHz)
Test Vector  20: 12 cycles (0.12 us @ 100MHz)
Test Vector  21: 12 cycles (0.12 us @ 100MHz)
Test Vector  22: 12 cycles (0.12 us @ 100MHz)
Test Vector  23: 12 cycles (0.12 us @ 100MHz)
Test Vector  24: 12 cycles (0.12 us @ 100MHz)
Test Vector  25: 12 cycles (0.12 us @ 100MHz)
Test Vector  26: 12 cycles (0.12 us @ 100MHz)
Test Vector  27: 12 cycles (0.12 us @ 100MHz)
Test Vector  28: 12 cycles (0.12 us @ 100MHz)
Test Vector  29: 12 cycles (0.12 us @ 100MHz)
Test Vector  30: 12 cycles (0.12 us @ 100MHz)
Test Vector  31: 12 cycles (0.12 us @ 100MHz)
Test Vector  32: 12 cycles (0.12 us @ 100MHz)
Test Vector  33: 12 cycles (0.12 us @ 100MHz)
Test Vector  34: 12 cycles (0.12 us @ 100MHz)
Test Vector  35: 12 cycles (0.12 us @ 100MHz)
Test Vector  36: 12 cycles (0.12 us @ 100MHz)
Test Vector  37: 12 cycles (0.12 us @ 100MHz)
Test Vector  38: 12 cycles (0.12 us @ 100MHz)
Test Vector  39: 12 cycles (0.12 us @ 100MHz)
Test Vector  40: 12 cycles (0.12 us @ 100MHz)
Test Vector  41: 12 cycles (0.12 us @ 100MHz)
Test Vector  42: 12 cycles (0.12 us @ 100MHz)
Test Vector  43: 12 cycles (0.12 us @ 100MHz)
Test Vector  44: 12 cycles (0.12 us @ 100MHz)
Test Vector  45: 12 cycles (0.12 us @ 100MHz)
Test Vector  46: 12 cycles (0.12 us @ 100MHz)
