==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              11
  FRAC_BITS:               5
  NUM_PARALLEL:            2
  Total Test Vectors:      100
==========================================================

Test Vector   1: 2120 cycles (21.20 us @ 100MHz)
Test Vector   2: 2120 cycles (21.20 us @ 100MHz)
Test Vector   3: 2120 cycles (21.20 us @ 100MHz)
Test Vector   4: 2120 cycles (21.20 us @ 100MHz)
Test Vector   5: 2120 cycles (21.20 us @ 100MHz)
Test Vector   6: 2120 cycles (21.20 us @ 100MHz)
Test Vector   7: 2120 cycles (21.20 us @ 100MHz)
Test Vector   8: 2120 cycles (21.20 us @ 100MHz)
Test Vector   9: 2120 cycles (21.20 us @ 100MHz)
Test Vector  10: 2120 cycles (21.20 us @ 100MHz)
Test Vector  11: 2120 cycles (21.20 us @ 100MHz)
Test Vector  12: 2120 cycles (21.20 us @ 100MHz)
Test Vector  13: 2120 cycles (21.20 us @ 100MHz)
Test Vector  14: 2120 cycles (21.20 us @ 100MHz)
Test Vector  15: 2120 cycles (21.20 us @ 100MHz)
Test Vector  16: 2120 cycles (21.20 us @ 100MHz)
Test Vector  17: 2120 cycles (21.20 us @ 100MHz)
Test Vector  18: 2120 cycles (21.20 us @ 100MHz)
Test Vector  19: 2120 cycles (21.20 us @ 100MHz)
Test Vector  20: 2120 cycles (21.20 us @ 100MHz)
Test Vector  21: 2120 cycles (21.20 us @ 100MHz)
Test Vector  22: 2120 cycles (21.20 us @ 100MHz)
Test Vector  23: 2120 cycles (21.20 us @ 100MHz)
Test Vector  24: 2120 cycles (21.20 us @ 100MHz)
Test Vector  25: 2120 cycles (21.20 us @ 100MHz)
Test Vector  26: 2120 cycles (21.20 us @ 100MHz)
Test Vector  27: 2120 cycles (21.20 us @ 100MHz)
Test Vector  28: 2120 cycles (21.20 us @ 100MHz)
Test Vector  29: 2120 cycles (21.20 us @ 100MHz)
Test Vector  30: 2120 cycles (21.20 us @ 100MHz)
Test Vector  31: 2120 cycles (21.20 us @ 100MHz)
Test Vector  32: 2120 cycles (21.20 us @ 100MHz)
Test Vector  33: 2120 cycles (21.20 us @ 100MHz)
